País;Categoría;año;Valor
República Centroafricana;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
República Centroafricana;94 MUEBLES, SILLAS, LÁMPARAS;2013;
República Centroafricana;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
República Centroafricana;96 MANUFACTURAS DIVERSAS;2013;
República Centroafricana;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;
República Centroafricana;98 CONJUNT. INDUST., REGL. 840/96;2013;
República Centroafricana;99 CONJUNT. DE OTROS PRODUCTOS;2013;
Libia;00 COMERCIO CONFIDENCIAL;2013;
Libia;01 ANIMALES VIVOS;2013;
Libia;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Libia;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;
Libia;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Libia;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Libia;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Libia;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
Libia;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;
Libia;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;
Libia;10 CEREALES;2013;
Libia;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Libia;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;
Libia;13 JUGOS Y EXTRACTOS VEGETALES;2013;
Libia;14 MATERIAS TRENZABLES;2013;
Libia;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
Libia;16 CONSERVAS DE CARNE O PESCADO;2013;
Libia;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;
Libia;18 CACAO Y SUS PREPARACIONES;2013;
Libia;19 PRODUC. DE CEREALES, DE PASTEL;2013;
Libia;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;
Libia;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Libia;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;
Libia;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;
Libia;24 TABACO Y SUS SUCEDÁNEOS;2013;
Libia;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;1168,14
Libia;26 MINERALES, ESCORIAS Y CENIZAS;2013;
Libia;27 COMBUSTIBLES, ACEITES MINERAL.;2013;1882528760
Libia;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;
Libia;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;11022264,61
Libia;30 PRODUCTOS FARMACÉUTICOS;2013;
Libia;31 ABONOS;2013;13872944,61
Libia;32 TANINO, MATERIAS COLORANTES, P;2013;
Libia;33 ACEITES ESENCIALES, PERFUMER.;2013;
Libia;34 JABONES, LUBRICANTES, CERAS;2013;
Libia;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;
Libia;36 PÓLVORAS Y EXPLOSIVOS;2013;
Libia;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
Libia;38 OTROS PRODUCTOS QUÍMICOS;2013;
Libia;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;646,54
Libia;40 CAUCHO Y SUS MANUFACTURAS;2013;
Libia;41 PIELES (EXC. PELETER.), CUEROS;2013;
Libia;42 MANUFACT. DE CUERO, MARROQUINE;2013;
Libia;43 PELETERÍA Y SUS CONFECCIONES;2013;
Libia;44 MADERA Y SUS MANUFACTURAS;2013;
Libia;45 CORCHO Y SUS MANUFACTURAS;2013;
Libia;46 MANUFACTURAS DE CESTERÍA;2013;
Libia;47 PASTA DE MADERA, PAPEL RECICL.;2013;
Libia;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;
Libia;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;19747,51
Libia;50 SEDA;2013;
Libia;51 LANA Y PELO FINO;2013;
Libia;52 ALGODÓN;2013;
Libia;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Libia;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;
Libia;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Libia;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;
Libia;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;
Libia;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;
Libia;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;
Libia;60 TEJIDOS DE PUNTO;2013;
Libia;61 PRENDAS DE VESTIR, DE PUNTO;2013;189,07
Libia;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;
Libia;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;22,38
Libia;64 CALZADO, SUS PARTES;2013;
Libia;65 ARTÍCULOS DE SOMBRERERÍA;2013;
Libia;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Libia;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
Libia;68 MANUFACTURAS DE PIEDRA, YESO;2013;
Libia;69 PRODUCTOS CERÁMICOS;2013;72,72
Libia;70 VIDRIO Y SUS MANUFACTURAS;2013;
Libia;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
Libia;72 FUNDICIÓN, HIERRO Y ACERO;2013;13677959,52
Libia;73 MANUF. DE FUNDIC., HIER./ACERO;2013;142,72
Libia;74 COBRE Y SUS MANUFACTURAS;2013;1533755,25
Libia;75 NÍQUEL Y SUS MANUFACTURAS;2013;
Libia;76 ALUMINIO Y SUS MANUFACTURAS;2013;781873,94
Libia;78 PLOMO Y SUS MANUFACTURAS;2013;1039728,58
Libia;79 CINC Y SUS MANUFACTURAS;2013;
Libia;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Libia;81 OTROS METAL. COMUNES, CERMETS;2013;180960,51
Libia;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;
Libia;83 MANUFACT. DIVERSAS DE METALES;2013;150,66
Libia;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;2705,85
Libia;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;298070,92
Libia;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;
Libia;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;79430,69
Libia;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;
Libia;89 BARCOS Y EMBARCACIONES;2013;
Libia;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;3179,82
Libia;91 RELOJERÍA;2013;
Libia;92 INSTRUMENTOS MUSICALES;2013;
Libia;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
Libia;94 MUEBLES, SILLAS, LÁMPARAS;2013;
Libia;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
Libia;96 MANUFACTURAS DIVERSAS;2013;
Libia;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;
Libia;98 CONJUNT. INDUST., REGL. 840/96;2013;
Libia;99 CONJUNT. DE OTROS PRODUCTOS;2013;1610,04
Somalia;00 COMERCIO CONFIDENCIAL;2013;
Somalia;01 ANIMALES VIVOS;2013;
Somalia;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Somalia;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;
Somalia;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Somalia;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Somalia;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Somalia;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
Somalia;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;
Somalia;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;
Somalia;10 CEREALES;2013;
Somalia;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Somalia;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;
Somalia;13 JUGOS Y EXTRACTOS VEGETALES;2013;134462,9
Somalia;14 MATERIAS TRENZABLES;2013;
Somalia;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
Somalia;16 CONSERVAS DE CARNE O PESCADO;2013;
Somalia;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;
Somalia;18 CACAO Y SUS PREPARACIONES;2013;
Somalia;19 PRODUC. DE CEREALES, DE PASTEL;2013;
Somalia;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;
Somalia;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Somalia;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;
Somalia;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;
Somalia;24 TABACO Y SUS SUCEDÁNEOS;2013;
Somalia;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;
Somalia;26 MINERALES, ESCORIAS Y CENIZAS;2013;
Somalia;27 COMBUSTIBLES, ACEITES MINERAL.;2013;
Somalia;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;
Somalia;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;
Somalia;30 PRODUCTOS FARMACÉUTICOS;2013;
Somalia;31 ABONOS;2013;
Somalia;32 TANINO, MATERIAS COLORANTES, P;2013;
Somalia;33 ACEITES ESENCIALES, PERFUMER.;2013;
Somalia;34 JABONES, LUBRICANTES, CERAS;2013;
Somalia;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;
Somalia;36 PÓLVORAS Y EXPLOSIVOS;2013;
Somalia;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
Somalia;38 OTROS PRODUCTOS QUÍMICOS;2013;
Somalia;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;
Somalia;40 CAUCHO Y SUS MANUFACTURAS;2013;
Somalia;41 PIELES (EXC. PELETER.), CUEROS;2013;
Somalia;42 MANUFACT. DE CUERO, MARROQUINE;2013;
Somalia;43 PELETERÍA Y SUS CONFECCIONES;2013;
Somalia;44 MADERA Y SUS MANUFACTURAS;2013;
Somalia;45 CORCHO Y SUS MANUFACTURAS;2013;
Somalia;46 MANUFACTURAS DE CESTERÍA;2013;
Somalia;47 PASTA DE MADERA, PAPEL RECICL.;2013;
Somalia;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;
Somalia;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;
Somalia;50 SEDA;2013;
Somalia;51 LANA Y PELO FINO;2013;
Somalia;52 ALGODÓN;2013;
Somalia;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Somalia;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;
Somalia;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Somalia;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;
Somalia;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;
Somalia;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;
Somalia;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;
Somalia;60 TEJIDOS DE PUNTO;2013;
Somalia;61 PRENDAS DE VESTIR, DE PUNTO;2013;
Somalia;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;
Somalia;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;
Somalia;64 CALZADO, SUS PARTES;2013;
Somalia;65 ARTÍCULOS DE SOMBRERERÍA;2013;
Somalia;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Somalia;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
Somalia;68 MANUFACTURAS DE PIEDRA, YESO;2013;
Somalia;69 PRODUCTOS CERÁMICOS;2013;
Somalia;70 VIDRIO Y SUS MANUFACTURAS;2013;
Somalia;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
Somalia;72 FUNDICIÓN, HIERRO Y ACERO;2013;
Somalia;73 MANUF. DE FUNDIC., HIER./ACERO;2013;
Somalia;74 COBRE Y SUS MANUFACTURAS;2013;
Somalia;75 NÍQUEL Y SUS MANUFACTURAS;2013;
Somalia;76 ALUMINIO Y SUS MANUFACTURAS;2013;
Somalia;78 PLOMO Y SUS MANUFACTURAS;2013;
Somalia;79 CINC Y SUS MANUFACTURAS;2013;
Somalia;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Somalia;81 OTROS METAL. COMUNES, CERMETS;2013;
Somalia;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;
Somalia;83 MANUFACT. DIVERSAS DE METALES;2013;
Somalia;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;5199,45
Somalia;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;
Somalia;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;
Somalia;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;
Somalia;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;
Somalia;89 BARCOS Y EMBARCACIONES;2013;
Somalia;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;
Somalia;91 RELOJERÍA;2013;
Somalia;92 INSTRUMENTOS MUSICALES;2013;
Somalia;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
Somalia;94 MUEBLES, SILLAS, LÁMPARAS;2013;
Somalia;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
Somalia;96 MANUFACTURAS DIVERSAS;2013;
Somalia;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;
Somalia;98 CONJUNT. INDUST., REGL. 840/96;2013;
Somalia;99 CONJUNT. DE OTROS PRODUCTOS;2013;
Sudán del Sur;00 COMERCIO CONFIDENCIAL;2013;
Sudán del Sur;01 ANIMALES VIVOS;2013;
Sudán del Sur;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Sudán del Sur;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;
Sudán del Sur;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Sudán del Sur;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Sudán del Sur;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Sudán del Sur;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
Sudán del Sur;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;
Sudán del Sur;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;
Sudán del Sur;10 CEREALES;2013;
Sudán del Sur;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Sudán del Sur;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;
Sudán del Sur;13 JUGOS Y EXTRACTOS VEGETALES;2013;
Sudán del Sur;14 MATERIAS TRENZABLES;2013;
Sudán del Sur;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
Sudán del Sur;16 CONSERVAS DE CARNE O PESCADO;2013;
Sudán del Sur;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;
Sudán del Sur;18 CACAO Y SUS PREPARACIONES;2013;
Sudán del Sur;19 PRODUC. DE CEREALES, DE PASTEL;2013;
Sudán del Sur;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;
Sudán del Sur;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Sudán del Sur;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;
Sudán del Sur;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;
Sudán del Sur;24 TABACO Y SUS SUCEDÁNEOS;2013;
Sudán del Sur;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;
Sudán del Sur;26 MINERALES, ESCORIAS Y CENIZAS;2013;
Sudán del Sur;27 COMBUSTIBLES, ACEITES MINERAL.;2013;
Sudán del Sur;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;
Sudán del Sur;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;
Sudán del Sur;30 PRODUCTOS FARMACÉUTICOS;2013;
Sudán del Sur;31 ABONOS;2013;
Sudán del Sur;32 TANINO, MATERIAS COLORANTES, P;2013;
Sudán del Sur;33 ACEITES ESENCIALES, PERFUMER.;2013;
Sudán del Sur;34 JABONES, LUBRICANTES, CERAS;2013;
Sudán del Sur;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;
Sudán del Sur;36 PÓLVORAS Y EXPLOSIVOS;2013;
Sudán del Sur;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
Sudán del Sur;38 OTROS PRODUCTOS QUÍMICOS;2013;
Sudán del Sur;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;
Sudán del Sur;40 CAUCHO Y SUS MANUFACTURAS;2013;
Sudán del Sur;41 PIELES (EXC. PELETER.), CUEROS;2013;
Sudán del Sur;42 MANUFACT. DE CUERO, MARROQUINE;2013;
Sudán del Sur;43 PELETERÍA Y SUS CONFECCIONES;2013;
Sudán del Sur;44 MADERA Y SUS MANUFACTURAS;2013;123,14
Sudán del Sur;45 CORCHO Y SUS MANUFACTURAS;2013;
Sudán del Sur;46 MANUFACTURAS DE CESTERÍA;2013;
Sudán del Sur;47 PASTA DE MADERA, PAPEL RECICL.;2013;
Sudán del Sur;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;
Sudán del Sur;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;
Sudán del Sur;50 SEDA;2013;
Sudán del Sur;51 LANA Y PELO FINO;2013;
Sudán del Sur;52 ALGODÓN;2013;
Sudán del Sur;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Sudán del Sur;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;
Sudán del Sur;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Sudán del Sur;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;
Sudán del Sur;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;
Sudán del Sur;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;
Sudán del Sur;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;
Sudán del Sur;60 TEJIDOS DE PUNTO;2013;
Sudán del Sur;61 PRENDAS DE VESTIR, DE PUNTO;2013;
Sudán del Sur;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;
Sudán del Sur;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;
Sudán del Sur;64 CALZADO, SUS PARTES;2013;
Sudán del Sur;65 ARTÍCULOS DE SOMBRERERÍA;2013;
Sudán del Sur;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Sudán del Sur;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
Sudán del Sur;68 MANUFACTURAS DE PIEDRA, YESO;2013;
