País;Categoría;año;Valor
Sudán;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Sudán;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;1009858,03
Sudán;13 JUGOS Y EXTRACTOS VEGETALES;2013;
Sudán;14 MATERIAS TRENZABLES;2013;32316,74
Sudán;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
Sudán;16 CONSERVAS DE CARNE O PESCADO;2013;
Sudán;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;17207289,37
Sudán;18 CACAO Y SUS PREPARACIONES;2013;
Sudán;19 PRODUC. DE CEREALES, DE PASTEL;2013;
Sudán;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;
Sudán;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Sudán;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;
Sudán;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;
Sudán;24 TABACO Y SUS SUCEDÁNEOS;2013;
Sudán;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;
Sudán;26 MINERALES, ESCORIAS Y CENIZAS;2013;
Sudán;27 COMBUSTIBLES, ACEITES MINERAL.;2013;
Sudán;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;
Sudán;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;
Sudán;30 PRODUCTOS FARMACÉUTICOS;2013;285
Sudán;31 ABONOS;2013;
Sudán;32 TANINO, MATERIAS COLORANTES, P;2013;
Sudán;33 ACEITES ESENCIALES, PERFUMER.;2013;
Sudán;34 JABONES, LUBRICANTES, CERAS;2013;137,12
Sudán;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;
Sudán;36 PÓLVORAS Y EXPLOSIVOS;2013;
Sudán;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
Sudán;38 OTROS PRODUCTOS QUÍMICOS;2013;53,81
Sudán;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;
Sudán;40 CAUCHO Y SUS MANUFACTURAS;2013;245,73
Sudán;41 PIELES (EXC. PELETER.), CUEROS;2013;410603,96
Sudán;42 MANUFACT. DE CUERO, MARROQUINE;2013;
Sudán;43 PELETERÍA Y SUS CONFECCIONES;2013;
Sudán;44 MADERA Y SUS MANUFACTURAS;2013;
Sudán;45 CORCHO Y SUS MANUFACTURAS;2013;
Sudán;46 MANUFACTURAS DE CESTERÍA;2013;
Sudán;47 PASTA DE MADERA, PAPEL RECICL.;2013;
Sudán;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;
Sudán;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;612,08
Sudán;50 SEDA;2013;
Sudán;51 LANA Y PELO FINO;2013;
Sudán;52 ALGODÓN;2013;
Sudán;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Sudán;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;
Sudán;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Sudán;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;
Sudán;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;
Sudán;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;
Sudán;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;
Sudán;60 TEJIDOS DE PUNTO;2013;
Sudán;61 PRENDAS DE VESTIR, DE PUNTO;2013;
Sudán;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;
Sudán;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;
Sudán;64 CALZADO, SUS PARTES;2013;
Sudán;65 ARTÍCULOS DE SOMBRERERÍA;2013;
Sudán;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Sudán;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
Sudán;68 MANUFACTURAS DE PIEDRA, YESO;2013;
Sudán;69 PRODUCTOS CERÁMICOS;2013;
Sudán;70 VIDRIO Y SUS MANUFACTURAS;2013;
Sudán;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
Sudán;72 FUNDICIÓN, HIERRO Y ACERO;2013;
Sudán;73 MANUF. DE FUNDIC., HIER./ACERO;2013;
Sudán;74 COBRE Y SUS MANUFACTURAS;2013;
Sudán;75 NÍQUEL Y SUS MANUFACTURAS;2013;
Sudán;76 ALUMINIO Y SUS MANUFACTURAS;2013;
Sudán;78 PLOMO Y SUS MANUFACTURAS;2013;160424,67
Sudán;79 CINC Y SUS MANUFACTURAS;2013;
Sudán;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Sudán;81 OTROS METAL. COMUNES, CERMETS;2013;
Sudán;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;
Sudán;83 MANUFACT. DIVERSAS DE METALES;2013;
Sudán;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;900
Sudán;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;
Sudán;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;
Sudán;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;21000
Sudán;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;
Sudán;89 BARCOS Y EMBARCACIONES;2013;
Sudán;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;
Sudán;91 RELOJERÍA;2013;
Sudán;92 INSTRUMENTOS MUSICALES;2013;
Sudán;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
Sudán;94 MUEBLES, SILLAS, LÁMPARAS;2013;15
Sudán;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
Sudán;96 MANUFACTURAS DIVERSAS;2013;
Sudán;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;
Sudán;98 CONJUNT. INDUST., REGL. 840/96;2013;
Sudán;99 CONJUNT. DE OTROS PRODUCTOS;2013;4420,01
Siria;00 COMERCIO CONFIDENCIAL;2013;
Siria;01 ANIMALES VIVOS;2013;
Siria;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Siria;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;
Siria;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Siria;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Siria;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Siria;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;1954271,36
Siria;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;1161487
Siria;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;1113724,45
Siria;10 CEREALES;2013;
Siria;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Siria;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;
Siria;13 JUGOS Y EXTRACTOS VEGETALES;2013;
Siria;14 MATERIAS TRENZABLES;2013;
Siria;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;4060516,95
Siria;16 CONSERVAS DE CARNE O PESCADO;2013;
Siria;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;
Siria;18 CACAO Y SUS PREPARACIONES;2013;
Siria;19 PRODUC. DE CEREALES, DE PASTEL;2013;17451,43
Siria;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;
Siria;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Siria;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;703,98
Siria;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;5360,91
Siria;24 TABACO Y SUS SUCEDÁNEOS;2013;
Siria;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;751702,74
Siria;26 MINERALES, ESCORIAS Y CENIZAS;2013;
Siria;27 COMBUSTIBLES, ACEITES MINERAL.;2013;
Siria;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;
Siria;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;
Siria;30 PRODUCTOS FARMACÉUTICOS;2013;14543,5
Siria;31 ABONOS;2013;
Siria;32 TANINO, MATERIAS COLORANTES, P;2013;
Siria;33 ACEITES ESENCIALES, PERFUMER.;2013;
Siria;34 JABONES, LUBRICANTES, CERAS;2013;
Siria;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;
Siria;36 PÓLVORAS Y EXPLOSIVOS;2013;
Siria;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
Siria;38 OTROS PRODUCTOS QUÍMICOS;2013;
Siria;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;104947,9
Siria;40 CAUCHO Y SUS MANUFACTURAS;2013;
Siria;41 PIELES (EXC. PELETER.), CUEROS;2013;169687
Siria;42 MANUFACT. DE CUERO, MARROQUINE;2013;
Siria;43 PELETERÍA Y SUS CONFECCIONES;2013;
Siria;44 MADERA Y SUS MANUFACTURAS;2013;3875
Siria;45 CORCHO Y SUS MANUFACTURAS;2013;
Siria;46 MANUFACTURAS DE CESTERÍA;2013;
Siria;47 PASTA DE MADERA, PAPEL RECICL.;2013;
Siria;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;
Siria;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;
Siria;50 SEDA;2013;
Siria;51 LANA Y PELO FINO;2013;
Siria;52 ALGODÓN;2013;49238,72
Siria;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Siria;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;78914,03
Siria;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Siria;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;35945,51
Siria;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;772,5
Siria;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;550
Siria;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;10955
Siria;60 TEJIDOS DE PUNTO;2013;
Siria;61 PRENDAS DE VESTIR, DE PUNTO;2013;300776,06
Siria;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;26136,31
Siria;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;23325
Siria;64 CALZADO, SUS PARTES;2013;
Siria;65 ARTÍCULOS DE SOMBRERERÍA;2013;
Siria;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Siria;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
Siria;68 MANUFACTURAS DE PIEDRA, YESO;2013;373,97
Siria;69 PRODUCTOS CERÁMICOS;2013;
Siria;70 VIDRIO Y SUS MANUFACTURAS;2013;
Siria;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
Siria;72 FUNDICIÓN, HIERRO Y ACERO;2013;
Siria;73 MANUF. DE FUNDIC., HIER./ACERO;2013;
Siria;74 COBRE Y SUS MANUFACTURAS;2013;
Siria;75 NÍQUEL Y SUS MANUFACTURAS;2013;
Siria;76 ALUMINIO Y SUS MANUFACTURAS;2013;
Siria;78 PLOMO Y SUS MANUFACTURAS;2013;838299,83
Siria;79 CINC Y SUS MANUFACTURAS;2013;
Siria;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Siria;81 OTROS METAL. COMUNES, CERMETS;2013;
Siria;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;73,86
Siria;83 MANUFACT. DIVERSAS DE METALES;2013;
Siria;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;19847,49
Siria;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;
Siria;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;
Siria;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;
Siria;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;
Siria;89 BARCOS Y EMBARCACIONES;2013;
Siria;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;
Siria;91 RELOJERÍA;2013;
Siria;92 INSTRUMENTOS MUSICALES;2013;
Siria;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
Siria;94 MUEBLES, SILLAS, LÁMPARAS;2013;2911,68
Siria;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
Siria;96 MANUFACTURAS DIVERSAS;2013;770,42
Siria;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;
Siria;98 CONJUNT. INDUST., REGL. 840/96;2013;
Siria;99 CONJUNT. DE OTROS PRODUCTOS;2013;5207,93
Ucrania;00 COMERCIO CONFIDENCIAL;2013;
Ucrania;01 ANIMALES VIVOS;2013;
Ucrania;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Ucrania;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;8456
Ucrania;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;477142,55
Ucrania;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Ucrania;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Ucrania;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
Ucrania;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;3743789,23
Ucrania;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;3418,49
Ucrania;10 CEREALES;2013;518615242,2
Ucrania;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;8911,47
Ucrania;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;45668538,02
Ucrania;13 JUGOS Y EXTRACTOS VEGETALES;2013;
Ucrania;14 MATERIAS TRENZABLES;2013;
Ucrania;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;104600685,8
Ucrania;16 CONSERVAS DE CARNE O PESCADO;2013;
Ucrania;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;2270097,76
Ucrania;18 CACAO Y SUS PREPARACIONES;2013;3191,06
Ucrania;19 PRODUC. DE CEREALES, DE PASTEL;2013;1873028,11
Ucrania;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;13245,99
Ucrania;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;37011,76
Ucrania;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;142738,03
Ucrania;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;44495489,02
Ucrania;24 TABACO Y SUS SUCEDÁNEOS;2013;
Ucrania;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;34333433,95
Ucrania;26 MINERALES, ESCORIAS Y CENIZAS;2013;1528398,09
Ucrania;27 COMBUSTIBLES, ACEITES MINERAL.;2013;194376588,3
Ucrania;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;8519805,64
Ucrania;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;7063930,14
Ucrania;30 PRODUCTOS FARMACÉUTICOS;2013;6397,32
Ucrania;31 ABONOS;2013;11804740,06
Ucrania;32 TANINO, MATERIAS COLORANTES, P;2013;6193940,91
Ucrania;33 ACEITES ESENCIALES, PERFUMER.;2013;40177,61
Ucrania;34 JABONES, LUBRICANTES, CERAS;2013;353998,87
Ucrania;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;3924,01
Ucrania;36 PÓLVORAS Y EXPLOSIVOS;2013;
Ucrania;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;27218,64
Ucrania;38 OTROS PRODUCTOS QUÍMICOS;2013;11320,03
Ucrania;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;90673,31
Ucrania;40 CAUCHO Y SUS MANUFACTURAS;2013;703702,76
Ucrania;41 PIELES (EXC. PELETER.), CUEROS;2013;5957014,95
Ucrania;42 MANUFACT. DE CUERO, MARROQUINE;2013;285290,86
Ucrania;43 PELETERÍA Y SUS CONFECCIONES;2013;
Ucrania;44 MADERA Y SUS MANUFACTURAS;2013;4831019,88
Ucrania;45 CORCHO Y SUS MANUFACTURAS;2013;
Ucrania;46 MANUFACTURAS DE CESTERÍA;2013;
Ucrania;47 PASTA DE MADERA, PAPEL RECICL.;2013;
Ucrania;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;9072,11
Ucrania;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;52001,84
Ucrania;50 SEDA;2013;
Ucrania;51 LANA Y PELO FINO;2013;
Ucrania;52 ALGODÓN;2013;3740,69
Ucrania;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Ucrania;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;201,57
Ucrania;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Ucrania;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;3706,35
Ucrania;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;2656,57
Ucrania;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;
Ucrania;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;350
Ucrania;60 TEJIDOS DE PUNTO;2013;
Ucrania;61 PRENDAS DE VESTIR, DE PUNTO;2013;208229,75
Ucrania;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;9746706,9
Ucrania;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;14887,99
Ucrania;64 CALZADO, SUS PARTES;2013;80388,05
Ucrania;65 ARTÍCULOS DE SOMBRERERÍA;2013;79,15
Ucrania;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Ucrania;67 PLUMAS Y PLUMÓN PREPARADOS;2013;368,51
Ucrania;68 MANUFACTURAS DE PIEDRA, YESO;2013;125698,61
Ucrania;69 PRODUCTOS CERÁMICOS;2013;79351,09
Ucrania;70 VIDRIO Y SUS MANUFACTURAS;2013;2647,21
Ucrania;71 PIEDRA, METAL. PRECIO., JOYER.;2013;1017,05
Ucrania;72 FUNDICIÓN, HIERRO Y ACERO;2013;62817300,3
Ucrania;73 MANUF. DE FUNDIC., HIER./ACERO;2013;6815333,85
Ucrania;74 COBRE Y SUS MANUFACTURAS;2013;
Ucrania;75 NÍQUEL Y SUS MANUFACTURAS;2013;279,09
Ucrania;76 ALUMINIO Y SUS MANUFACTURAS;2013;19973,2
Ucrania;78 PLOMO Y SUS MANUFACTURAS;2013;283208,73
Ucrania;79 CINC Y SUS MANUFACTURAS;2013;
Ucrania;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Ucrania;81 OTROS METAL. COMUNES, CERMETS;2013;1151873,89
Ucrania;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;5633,7
Ucrania;83 MANUFACT. DIVERSAS DE METALES;2013;863497,8
Ucrania;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;7089412,74
Ucrania;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;11594755,3
Ucrania;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;1359961
Ucrania;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;23721,35
Ucrania;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;263312,33
Ucrania;89 BARCOS Y EMBARCACIONES;2013;26121,85
Ucrania;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;1120706,33
Ucrania;91 RELOJERÍA;2013;2107,23
Ucrania;92 INSTRUMENTOS MUSICALES;2013;1602,65
Ucrania;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;
Ucrania;94 MUEBLES, SILLAS, LÁMPARAS;2013;2756808,06
Ucrania;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;423173,76
Ucrania;96 MANUFACTURAS DIVERSAS;2013;209,68
Ucrania;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;14598,37
Ucrania;98 CONJUNT. INDUST., REGL. 840/96;2013;
Ucrania;99 CONJUNT. DE OTROS PRODUCTOS;2013;157944,62
Argelia;00 COMERCIO CONFIDENCIAL;2013;
Argelia;01 ANIMALES VIVOS;2013;
Argelia;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Argelia;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;3939586,64
Argelia;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Argelia;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Argelia;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Argelia;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;167868,2
Argelia;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;155131,43
Argelia;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;
Argelia;10 CEREALES;2013;40,1
Argelia;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Argelia;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;1742219,14
Argelia;13 JUGOS Y EXTRACTOS VEGETALES;2013;
Argelia;14 MATERIAS TRENZABLES;2013;
Argelia;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
Argelia;16 CONSERVAS DE CARNE O PESCADO;2013;
Argelia;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;10155484,52
Argelia;18 CACAO Y SUS PREPARACIONES;2013;1296234
Argelia;19 PRODUC. DE CEREALES, DE PASTEL;2013;52,11
Argelia;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;397,8
Argelia;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Argelia;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;22035,3
Argelia;23 RESIDUOS INDUSTRIA ALIMENTARIA;2013;
Argelia;24 TABACO Y SUS SUCEDÁNEOS;2013;
Argelia;25 SAL, YESO, PIEDRAS S/ TRABAJAR;2013;1061834,84
Argelia;26 MINERALES, ESCORIAS Y CENIZAS;2013;
Argelia;27 COMBUSTIBLES, ACEITES MINERAL.;2013;9010486423
Argelia;28 PRODUCT. QUÍMICOS INORGÁNICOS;2013;117928255
Argelia;29 PRODUCTOS QUÍMICOS ORGÁNICOS;2013;6903008,98
Argelia;30 PRODUCTOS FARMACÉUTICOS;2013;234
Argelia;31 ABONOS;2013;4717608,26
Argelia;32 TANINO, MATERIAS COLORANTES, P;2013;252,18
Argelia;33 ACEITES ESENCIALES, PERFUMER.;2013;55948,81
Argelia;34 JABONES, LUBRICANTES, CERAS;2013;487,1
Argelia;35 MATERIAS ALBUMINÓIDEAS, COLAS;2013;12300
Argelia;36 PÓLVORAS Y EXPLOSIVOS;2013;
Argelia;37 PRODU. FOTOGRÁFIC. O CINEMATO.;2013;
Argelia;38 OTROS PRODUCTOS QUÍMICOS;2013;3347,23
Argelia;39 MAT. PLÁSTICAS, SUS MANUFACTU.;2013;19279,74
Argelia;40 CAUCHO Y SUS MANUFACTURAS;2013;
Argelia;41 PIELES (EXC. PELETER.), CUEROS;2013;1122300,47
Argelia;42 MANUFACT. DE CUERO, MARROQUINE;2013;578,22
Argelia;43 PELETERÍA Y SUS CONFECCIONES;2013;
Argelia;44 MADERA Y SUS MANUFACTURAS;2013;137,96
Argelia;45 CORCHO Y SUS MANUFACTURAS;2013;922205,3
Argelia;46 MANUFACTURAS DE CESTERÍA;2013;
Argelia;47 PASTA DE MADERA, PAPEL RECICL.;2013;746721,67
Argelia;48 PAPEL, CARTÓN, SUS MANUFACTURA;2013;32960,16
Argelia;49 LIBROS, PUBLICACI., ARTES GRÁF;2013;1539,88
Argelia;50 SEDA;2013;
Argelia;51 LANA Y PELO FINO;2013;
Argelia;52 ALGODÓN;2013;
Argelia;53 OTRAS FIBRAS TEXTILES VEGETALE;2013;
Argelia;54 FILAMENTOS SINTÉTICOS O ARTIFI;2013;
Argelia;55 FIBRAS SINTÉ., ARTIF. DISCONT.;2013;
Argelia;56 FIELTRO, TELA S/ TEJER, CORDEL;2013;
Argelia;57 ALFOMBRAS, REVESTI. TEXTILES S;2013;
Argelia;58 TERCIOPELO, C/ BUCLES, TAPICER;2013;406,73
Argelia;59 TEJIDOS TÉCNICOS, RECUBIERTOS;2013;
Argelia;60 TEJIDOS DE PUNTO;2013;
Argelia;61 PRENDAS DE VESTIR, DE PUNTO;2013;149,44
Argelia;62 PRENDAS DE VESTIR, NO DE PUNTO;2013;60,47
Argelia;63 ARTÍC. TEXTIL-HOGAR, PRENDERÍA;2013;
Argelia;64 CALZADO, SUS PARTES;2013;32,44
Argelia;65 ARTÍCULOS DE SOMBRERERÍA;2013;
Argelia;66 PARAGUAS, SOMBRILLAS, BASTONES;2013;
Argelia;67 PLUMAS Y PLUMÓN PREPARADOS;2013;
Argelia;68 MANUFACTURAS DE PIEDRA, YESO;2013;271,11
Argelia;69 PRODUCTOS CERÁMICOS;2013;54092
Argelia;70 VIDRIO Y SUS MANUFACTURAS;2013;4444972,11
Argelia;71 PIEDRA, METAL. PRECIO., JOYER.;2013;
Argelia;72 FUNDICIÓN, HIERRO Y ACERO;2013;1825021,35
Argelia;73 MANUF. DE FUNDIC., HIER./ACERO;2013;61,48
Argelia;74 COBRE Y SUS MANUFACTURAS;2013;
Argelia;75 NÍQUEL Y SUS MANUFACTURAS;2013;
Argelia;76 ALUMINIO Y SUS MANUFACTURAS;2013;8300
Argelia;78 PLOMO Y SUS MANUFACTURAS;2013;1200778,57
Argelia;79 CINC Y SUS MANUFACTURAS;2013;
Argelia;80 ESTAÑO Y SUS MANUFACTURAS;2013;
Argelia;81 OTROS METAL. COMUNES, CERMETS;2013;
Argelia;82 HERRAMIEN. Y CUCHILL. METÁLIC.;2013;
Argelia;83 MANUFACT. DIVERSAS DE METALES;2013;4120,51
Argelia;84 MÁQUINAS Y APARATOS MECÁNICOS;2013;1429680,65
Argelia;85 APARATOS Y MATERIAL ELÉCTRICOS;2013;1488877,93
Argelia;86 VEHÍCULOS, MATERIAL FERROVIARI;2013;43106,47
Argelia;87 VEHÍCULOS AUTOMÓVILES, TRACTOR;2013;240716,45
Argelia;88 AERONAVES, VEHÍCULOS ESPACIALE;2013;271475,93
Argelia;89 BARCOS Y EMBARCACIONES;2013;1500
Argelia;90 APARATOS ÓPTICOS, MEDIDA, MÉDI;2013;488349,45
Argelia;91 RELOJERÍA;2013;
Argelia;92 INSTRUMENTOS MUSICALES;2013;
Argelia;93 ARMAS Y MUNICIONES, ACCESORIOS;2013;1893222,08
Argelia;94 MUEBLES, SILLAS, LÁMPARAS;2013;6494,53
Argelia;95 JUGUETES, JUEGOS, ARTÍC. DEPOR;2013;
Argelia;96 MANUFACTURAS DIVERSAS;2013;17,38
Argelia;97 OBJETOS DE ARTE, ANTIGUEDADES;2013;68,49
Argelia;98 CONJUNT. INDUST., REGL. 840/96;2013;
Argelia;99 CONJUNT. DE OTROS PRODUCTOS;2013;42862,12
Bangladesh;00 COMERCIO CONFIDENCIAL;2013;
Bangladesh;01 ANIMALES VIVOS;2013;
Bangladesh;02 CARNE Y DESPOJOS COMESTIBLES;2013;
Bangladesh;03 PESCADOS, CRUSTÁCEOS, MOLUSCOS;2013;130456,62
Bangladesh;04 LECHE, PRODUCTOS LÁCTEOS, HUEV;2013;
Bangladesh;05 OTROS PRODUCTOS DE ORIGEN ANIM;2013;
Bangladesh;06 PLANTAS VIVAS, PRO. FLORICULTU;2013;
Bangladesh;07 LEGUMBRES, HORTALIZAS, S/ CONS;2013;
Bangladesh;08 FRUTAS /FRUTOS, S/ CONSERVAR;2013;
Bangladesh;09 CAFÉ, TÉ, YERBA MATE Y ESPECIA;2013;
Bangladesh;10 CEREALES;2013;
Bangladesh;11 PRODUC. DE LA MOLINERÍA, MALTA;2013;
Bangladesh;12 SEMILLAS OLEAGI., PLANTAS INDU;2013;
Bangladesh;13 JUGOS Y EXTRACTOS VEGETALES;2013;21,08
Bangladesh;14 MATERIAS TRENZABLES;2013;
Bangladesh;15 GRASAS, ACEITE ANIMAL O VEGETA;2013;
Bangladesh;16 CONSERVAS DE CARNE O PESCADO;2013;
Bangladesh;17 AZÚCARES, ARTÍCULOS CONFITERÍA;2013;
Bangladesh;18 CACAO Y SUS PREPARACIONES;2013;
Bangladesh;19 PRODUC. DE CEREALES, DE PASTEL;2013;
Bangladesh;20 CONSERVAS VERDURA O FRUTA, ZUM;2013;22278,37
Bangladesh;21 PREPARAC. ALIMENTICIAS DIVERSA;2013;
Bangladesh;22 BEBIDAS TODO TIPO (EXC. ZUMOS);2013;
